# Partner motif	Anchor	Partner TF	Partner Motif	Anchor pAUC	Partner pAUC	A&P pAUC	Ratio	Similarity		Partner Class	Partner Family
48	PEAKS039234_BHLHA15_pwm.binary	Batf	BATF.H12CORE.0.P.B	250.933763	9.905654	167.973310	0.669393	1.000000		Basic leucine zipper factors (bZIP) {1.1}	B-ATF-related {1.1.4}
49	PEAKS039234_BHLHA15_pwm.binary	Batf	BATF.H12CORE.1.P.B	250.933763	9.818555	186.344677	0.742605	1.000000		Basic leucine zipper factors (bZIP) {1.1}	B-ATF-related {1.1.4}
50	PEAKS039234_BHLHA15_pwm.binary	Batf3	BATF3.H12CORE.0.P.B	250.933763	9.152729	170.050102	0.677669	1.000000		Basic leucine zipper factors (bZIP) {1.1}	B-ATF-related {1.1.4}
51	PEAKS039234_BHLHA15_pwm.binary	Batf3	BATF3.H12CORE.1.P.B	250.933763	10.676169	161.972951	0.645481	1.000000		Basic leucine zipper factors (bZIP) {1.1}	B-ATF-related {1.1.4}
52	PEAKS039234_BHLHA15_pwm.binary	Batf3	BATF3.H12CORE.2.SM.B	250.933763	9.585997	169.431491	0.675204	1.000000		Basic leucine zipper factors (bZIP) {1.1}	B-ATF-related {1.1.4}
53	PEAKS039234_BHLHA15_pwm.binary	Xbp1	XBP1.H12CORE.0.PS.A	250.933763	9.712276	166.735768	0.664461	1.000000		Basic leucine zipper factors (bZIP) {1.1}	XBP1-related {1.1.5}
54	PEAKS039234_BHLHA15_pwm.binary	Xbp1	XBP1.H12CORE.1.M.B	250.933763	8.088607	166.436890	0.663270	1.000000		Basic leucine zipper factors (bZIP) {1.1}	XBP1-related {1.1.5}
55	PEAKS039234_BHLHA15_pwm.binary	Atf4	ATF4.H12CORE.0.P.B	250.933763	11.082193	172.358210	0.686867	1.000000		Basic leucine zipper factors (bZIP) {1.1}	ATF4-related {1.1.6}
56	PEAKS039234_BHLHA15_pwm.binary	Atf4	ATF4.H12CORE.1.S.B	250.933763	9.306527	169.241035	0.674445	1.000000		Basic leucine zipper factors (bZIP) {1.1}	ATF4-related {1.1.6}
57	PEAKS039234_BHLHA15_pwm.binary	Atf4	ATF4.H12CORE.2.SM.B	250.933763	5.073064	176.003791	0.701395	1.000000		Basic leucine zipper factors (bZIP) {1.1}	ATF4-related {1.1.6}
58	PEAKS039234_BHLHA15_pwm.binary	Atf1	ATF1.H12CORE.0.P.B	250.933763	13.218254	186.732033	0.744149	1.000000		Basic leucine zipper factors (bZIP) {1.1}	CREB-related {1.1.7}
59	PEAKS039234_BHLHA15_pwm.binary	Atf1	ATF1.H12CORE.1.P.B	250.933763	15.622900	185.398366	0.738834	1.000000		Basic leucine zipper factors (bZIP) {1.1}	CREB-related {1.1.7}
60	PEAKS039234_BHLHA15_pwm.binary	Atf6	CREB1.H12CORE.0.PSM.A	250.933763	9.123570	195.194610	0.777873	1.000000		Basic leucine zipper factors (bZIP) {1.1}	CREB-related {1.1.7}
61	PEAKS039234_BHLHA15_pwm.binary	Atf6b	CREM.H12CORE.0.PSM.A	250.933763	8.547963	184.514252	0.735311	1.000000		Basic leucine zipper factors (bZIP) {1.1}	CREB-related {1.1.7}
62	PEAKS039234_BHLHA15_pwm.binary	Creb1	CREM.H12CORE.1.P.C	250.933763	9.238465	186.993164	0.745189	1.000000		Basic leucine zipper factors (bZIP) {1.1}	CREB-related {1.1.7}
63	PEAKS039234_BHLHA15_pwm.binary	Creb3	CREB3.H12CORE.0.SM.B	250.933763	10.857618	178.094870	0.709729	1.000000		Basic leucine zipper factors (bZIP) {1.1}	CREB-related {1.1.7}
64	PEAKS039234_BHLHA15_pwm.binary	Creb3l1	CR3L1.H12CORE.0.PSM.A	250.933763	17.147808	182.720611	0.728163	1.000000		Basic leucine zipper factors (bZIP) {1.1}	CREB-related {1.1.7}
65	PEAKS039234_BHLHA15_pwm.binary	Creb3l2	CR3L2.H12CORE.0.PS.A	250.933763	12.215387	179.644763	0.715905	1.000000		Basic leucine zipper factors (bZIP) {1.1}	CREB-related {1.1.7}
66	PEAKS039234_BHLHA15_pwm.binary	Creb3l4	CR3L4.H12CORE.0.M.C	250.933763	10.412039	167.788440	0.668656	1.000000		Basic leucine zipper factors (bZIP) {1.1}	CREB-related {1.1.7}
67	PEAKS039234_BHLHA15_pwm.binary	Creb3l4	CR3L4.H12CORE.1.S.C	250.933763	18.952827	180.544810	0.719492	1.000000		Basic leucine zipper factors (bZIP) {1.1}	CREB-related {1.1.7}
68	PEAKS039234_BHLHA15_pwm.binary	Crem	ATF6A.H12CORE.0.SM.B	250.933763	11.715416	177.505169	0.707379	1.000000		Basic leucine zipper factors (bZIP) {1.1}	CREB-related {1.1.7}
69	PEAKS039234_BHLHA15_pwm.binary	Crem	ATF6B.H12CORE.0.SM.B	250.933763	25.292232	175.317510	0.698661	1.000000		Basic leucine zipper factors (bZIP) {1.1}	CREB-related {1.1.7}
70	PEAKS039234_BHLHA15_pwm.binary	Cebpa	CEBPA.H12CORE.0.P.B	250.933763	13.371134	188.145306	0.749781	1.000000		Basic leucine zipper factors (bZIP) {1.1}	C/EBP-related {1.1.8}
71	PEAKS039234_BHLHA15_pwm.binary	Cebpb	CEBPB.H12CORE.0.P.B	250.933763	15.075755	183.253176	0.730285	1.000000		Basic leucine zipper factors (bZIP) {1.1}	C/EBP-related {1.1.8}
72	PEAKS039234_BHLHA15_pwm.binary	Cebpb	CEBPB.H12CORE.1.SM.B	250.933763	10.956203	181.329285	0.722618	1.000000		Basic leucine zipper factors (bZIP) {1.1}	C/EBP-related {1.1.8}
73	PEAKS039234_BHLHA15_pwm.binary	Cebpd	CEBPD.H12CORE.0.P.B	250.933763	13.082402	183.987159	0.733210	1.000000		Basic leucine zipper factors (bZIP) {1.1}	C/EBP-related {1.1.8}
74	PEAKS039234_BHLHA15_pwm.binary	Cebpd	CEBPD.H12CORE.1.SM.B	250.933763	11.956302	184.074257	0.733557	1.000000		Basic leucine zipper factors (bZIP) {1.1}	C/EBP-related {1.1.8}
75	PEAKS039234_BHLHA15_pwm.binary	Cebpe	CEBPE.H12CORE.0.P.B	250.933763	12.045595	187.145056	0.745795	1.000000		Basic leucine zipper factors (bZIP) {1.1}	C/EBP-related {1.1.8}
76	PEAKS039234_BHLHA15_pwm.binary	Cebpe	CEBPE.H12CORE.1.SM.B	250.933763	10.742474	181.427504	0.723010	1.000000		Basic leucine zipper factors (bZIP) {1.1}	C/EBP-related {1.1.8}
77	PEAKS039234_BHLHA15_pwm.binary	Cebpg	CEBPG.H12CORE.0.P.B	250.933763	15.182458	183.954574	0.733080	1.000000		Basic leucine zipper factors (bZIP) {1.1}	C/EBP-related {1.1.8}
78	PEAKS039234_BHLHA15_pwm.binary	Cebpg	CEBPG.H12CORE.1.SM.B	250.933763	10.818981	182.199084	0.726084	1.000000		Basic leucine zipper factors (bZIP) {1.1}	C/EBP-related {1.1.8}
79	PEAKS039234_BHLHA15_pwm.binary	Cebpg	CEBPG.H12CORE.2.P.B	250.933763	12.574050	179.589982	0.715687	1.000000		Basic leucine zipper factors (bZIP) {1.1}	C/EBP-related {1.1.8}
80	PEAKS039234_BHLHA15_pwm.binary	Dbp	DDIT3.H12CORE.0.P.B	250.933763	13.102699	179.302223	0.714540	1.000000		Basic leucine zipper factors (bZIP) {1.1}	C/EBP-related {1.1.8}
81	PEAKS039234_BHLHA15_pwm.binary	Ddit3	DBP.H12CORE.0.SM.B	250.933763	15.249784	169.545969	0.675660	1.000000		Basic leucine zipper factors (bZIP) {1.1}	C/EBP-related {1.1.8}
82	PEAKS039234_BHLHA15_pwm.binary	Hlf	HLF.H12CORE.0.P.B	250.933763	16.378613	186.523042	0.743316	1.000000		Basic leucine zipper factors (bZIP) {1.1}	C/EBP-related {1.1.8}
83	PEAKS039234_BHLHA15_pwm.binary	Hlf	HLF.H12CORE.1.SM.B	250.933763	18.257083	186.557846	0.743455	1.000000		Basic leucine zipper factors (bZIP) {1.1}	C/EBP-related {1.1.8}
84	PEAKS039234_BHLHA15_pwm.binary	Nfil3	NFIL3.H12CORE.0.P.B	250.933763	15.489664	212.372248	0.846328	1.000000		Basic leucine zipper factors (bZIP) {1.1}	C/EBP-related {1.1.8}
85	PEAKS039234_BHLHA15_pwm.binary	Nfil3	NFIL3.H12CORE.1.S.B	250.933763	11.601730	175.620864	0.699869	1.000000		Basic leucine zipper factors (bZIP) {1.1}	C/EBP-related {1.1.8}
86	PEAKS039234_BHLHA15_pwm.binary	Tef	TEF.H12CORE.0.SM.B	250.933763	16.733701	181.964777	0.725151	1.000000		Basic leucine zipper factors (bZIP) {1.1}	C/EBP-related {1.1.8}
87	PEAKS039234_BHLHA15_pwm.binary	Tcf12	HTF4.H12CORE.0.PSM.A	250.933763	341.851333	322.182396	0.942463	1.645849		Basic helix-loop-helix factors (bHLH) {1.2}	E2A {1.2.1}
88	PEAKS039234_BHLHA15_pwm.binary	Tcf3	TFE2.H12CORE.0.PS.A	250.933763	38.881952	212.836683	0.848179	1.304016		Basic helix-loop-helix factors (bHLH) {1.2}	E2A {1.2.1}
89	PEAKS039234_BHLHA15_pwm.binary	Tcf4	ITF2.H12CORE.0.S.B	250.933763	64.302963	178.296744	0.710533	1.000000		Basic helix-loop-helix factors (bHLH) {1.2}	E2A {1.2.1}
90	PEAKS039234_BHLHA15_pwm.binary	Tcf4	ITF2.H12CORE.1.PSM.A	250.933763	31.012387	224.568337	0.894931	1.000000		Basic helix-loop-helix factors (bHLH) {1.2}	E2A {1.2.1}
91	PEAKS039234_BHLHA15_pwm.binary	Ascl1	MYF5.H12CORE.0.P.B	250.933763	255.816193	323.021239	1.262708	2.445486		Basic helix-loop-helix factors (bHLH) {1.2}	MyoD-ASC-related {1.2.2}
92	PEAKS039234_BHLHA15_pwm.binary	Ascl2	MYF6.H12CORE.0.SM.B	250.933763	354.833778	481.554473	1.357127	2.546994		Basic helix-loop-helix factors (bHLH) {1.2}	MyoD-ASC-related {1.2.2}
93	PEAKS039234_BHLHA15_pwm.binary	Myf5	MYOD1.H12CORE.0.P.B	250.933763	290.994189	295.098668	1.014105	4.034676		Basic helix-loop-helix factors (bHLH) {1.2}	MyoD-ASC-related {1.2.2}
94	PEAKS039234_BHLHA15_pwm.binary	Myf6	MYOD1.H12CORE.1.PSM.A	250.933763	187.781010	255.811322	1.019438	1.473925		Basic helix-loop-helix factors (bHLH) {1.2}	MyoD-ASC-related {1.2.2}
95	PEAKS039234_BHLHA15_pwm.binary	Myod1	MYOG.H12CORE.0.PSM.A	250.933763	250.773475	274.871804	1.095396	2.910097		Basic helix-loop-helix factors (bHLH) {1.2}	MyoD-ASC-related {1.2.2}
96	PEAKS039234_BHLHA15_pwm.binary	Myod1	ASCL1.H12CORE.0.PSM.A	250.933763	486.254084	436.342021	0.897354	3.255532		Basic helix-loop-helix factors (bHLH) {1.2}	MyoD-ASC-related {1.2.2}
97	PEAKS039234_BHLHA15_pwm.binary	Myog	ASCL2.H12CORE.0.PSM.A	250.933763	310.466385	348.824485	1.123550	1.000000		Basic helix-loop-helix factors (bHLH) {1.2}	MyoD-ASC-related {1.2.2}
98	PEAKS039234_BHLHA15_pwm.binary	Atoh1	LYL1.H12CORE.0.P.C	250.933763	321.033670	310.031917	0.965730	3.622433		Basic helix-loop-helix factors (bHLH) {1.2}	Tal-related {1.2.3}
99	PEAKS039234_BHLHA15_pwm.binary	Atoh1	LYL1.H12CORE.1.P.C	250.933763	198.069884	270.765280	1.079031	1.000000		Basic helix-loop-helix factors (bHLH) {1.2}	Tal-related {1.2.3}
100	PEAKS039234_BHLHA15_pwm.binary	Atoh8	HEN1.H12CORE.0.S.B	250.933763	304.236681	329.062834	1.081601	4.700008		Basic helix-loop-helix factors (bHLH) {1.2}	Tal-related {1.2.3}
101	PEAKS039234_BHLHA15_pwm.binary	Bhlha15	HEN2.H12CORE.0.SM.B	250.933763	288.038849	267.500244	0.928695	6.092907		Basic helix-loop-helix factors (bHLH) {1.2}	Tal-related {1.2.3}
102	PEAKS039234_BHLHA15_pwm.binary	Bhlha15	TAL1.H12CORE.0.P.B	250.933763	219.566251	281.582429	1.122138	1.995424		Basic helix-loop-helix factors (bHLH) {1.2}	Tal-related {1.2.3}
103	PEAKS039234_BHLHA15_pwm.binary	Bhlhe22	TAL1.H12CORE.1.P.B	250.933763	214.383171	295.796456	1.178783	1.000000		Basic helix-loop-helix factors (bHLH) {1.2}	Tal-related {1.2.3}
104	PEAKS039234_BHLHA15_pwm.binary	Bhlhe23	TAL1.H12CORE.2.P.B	250.933763	199.676910	294.953803	1.175425	1.000000		Basic helix-loop-helix factors (bHLH) {1.2}	Tal-related {1.2.3}
105	PEAKS039234_BHLHA15_pwm.binary	Ferd3l	FIGLA.H12CORE.0.SM.B	250.933763	220.722129	264.185823	1.052811	1.000000		Basic helix-loop-helix factors (bHLH) {1.2}	Tal-related {1.2.3}
106	PEAKS039234_BHLHA15_pwm.binary	Figla	HAND1.H12CORE.0.P.B	250.933763	25.330741	187.976791	0.749109	1.000000		Basic helix-loop-helix factors (bHLH) {1.2}	Tal-related {1.2.3}
107	PEAKS039234_BHLHA15_pwm.binary	Hand1	HAND1.H12CORE.1.P.B	250.933763	7.608081	158.216346	0.630510	1.000000		Basic helix-loop-helix factors (bHLH) {1.2}	Tal-related {1.2.3}
108	PEAKS039234_BHLHA15_pwm.binary	Hand1	HAND2.H12CORE.0.P.B	250.933763	14.874574	182.250093	0.726288	1.000000		Basic helix-loop-helix factors (bHLH) {1.2}	Tal-related {1.2.3}
109	PEAKS039234_BHLHA15_pwm.binary	Hand2	HAND2.H12CORE.1.P.B	250.933763	8.566212	160.583146	0.639942	1.000000		Basic helix-loop-helix factors (bHLH) {1.2}	Tal-related {1.2.3}
110	PEAKS039234_BHLHA15_pwm.binary	Hand2	HAND2.H12CORE.2.S.C	250.933763	18.311474	185.911866	0.740880	1.000000		Basic helix-loop-helix factors (bHLH) {1.2}	Tal-related {1.2.3}
111	PEAKS039234_BHLHA15_pwm.binary	Hand2	PTF1A.H12CORE.0.P.B	250.933763	23.151431	164.564652	0.655809	1.000000		Basic helix-loop-helix factors (bHLH) {1.2}	Tal-related {1.2.3}
112	PEAKS039234_BHLHA15_pwm.binary	Lyl1	PTF1A.H12CORE.1.PS.A	250.933763	99.708649	192.160500	0.765782	1.569950		Basic helix-loop-helix factors (bHLH) {1.2}	Tal-related {1.2.3}
113	PEAKS039234_BHLHA15_pwm.binary	Lyl1	TWST1.H12CORE.0.P.B	250.933763	42.483727	196.345298	0.782459	1.000000		Basic helix-loop-helix factors (bHLH) {1.2}	Tal-related {1.2.3}
114	PEAKS039234_BHLHA15_pwm.binary	Mesp1	TWST1.H12CORE.1.P.B	250.933763	26.506415	178.119639	0.709827	1.000000		Basic helix-loop-helix factors (bHLH) {1.2}	Tal-related {1.2.3}
115	PEAKS039234_BHLHA15_pwm.binary	Mesp2	TWST2.H12CORE.0.P.B	250.933763	174.634355	266.086527	1.060386	1.000000		Basic helix-loop-helix factors (bHLH) {1.2}	Tal-related {1.2.3}
116	PEAKS039234_BHLHA15_pwm.binary	Msc	TWST2.H12CORE.1.P.B	250.933763	193.037994	256.433405	1.021917	1.991547		Basic helix-loop-helix factors (bHLH) {1.2}	Tal-related {1.2.3}
117	PEAKS039234_BHLHA15_pwm.binary	Msgn1	MESP1.H12CORE.0.S.C	250.933763	130.607208	239.753538	0.955446	1.000000		Basic helix-loop-helix factors (bHLH) {1.2}	Tal-related {1.2.3}
118	PEAKS039234_BHLHA15_pwm.binary	Neurod1	MESP2.H12CORE.0.S.C	250.933763	137.546391	206.422791	0.822619	3.118181		Basic helix-loop-helix factors (bHLH) {1.2}	Tal-related {1.2.3}
119	PEAKS039234_BHLHA15_pwm.binary	Neurod1	MUSC.H12CORE.0.SM.B	250.933763	177.114456	247.230777	0.985243	1.000000		Basic helix-loop-helix factors (bHLH) {1.2}	Tal-related {1.2.3}
120	PEAKS039234_BHLHA15_pwm.binary	Neurod2	MSGN1.H12CORE.0.PSM.A	250.933763	144.948968	206.863601	0.824375	2.898912		Basic helix-loop-helix factors (bHLH) {1.2}	Tal-related {1.2.3}
121	PEAKS039234_BHLHA15_pwm.binary	Neurod2	TCF21.H12CORE.0.PS.A	250.933763	213.912678	281.992073	1.123771	1.000000		Basic helix-loop-helix factors (bHLH) {1.2}	Tal-related {1.2.3}
122	PEAKS039234_BHLHA15_pwm.binary	Neurog1	TCF21.H12CORE.1.SM.B	250.933763	137.867720	232.254572	0.925561	1.000000		Basic helix-loop-helix factors (bHLH) {1.2}	Tal-related {1.2.3}
123	PEAKS039234_BHLHA15_pwm.binary	Neurog2	ATOH1.H12CORE.0.P.B	250.933763	165.321449	200.791288	0.800176	3.292688		Basic helix-loop-helix factors (bHLH) {1.2}	Tal-related {1.2.3}
124	PEAKS039234_BHLHA15_pwm.binary	Neurog2	ATOH1.H12CORE.1.SM.B	250.933763	116.537952	211.846722	0.844234	1.000000		Basic helix-loop-helix factors (bHLH) {1.2}	Tal-related {1.2.3}
125	PEAKS039234_BHLHA15_pwm.binary	Nhlh1	ATOH8.H12CORE.0.P.C	250.933763	119.975010	207.597312	0.827299	1.554884		Basic helix-loop-helix factors (bHLH) {1.2}	Tal-related {1.2.3}
126	PEAKS039234_BHLHA15_pwm.binary	Nhlh2	BHA15.H12CORE.0.P.B	250.933763	86.284363	198.331837	0.790375	1.000000		Basic helix-loop-helix factors (bHLH) {1.2}	Tal-related {1.2.3}
