# Partner motif	Anchor	Partner TF	Partner Motif	Anchor pAUC	Partner pAUC	A&P pAUC	Ratio		Partner Class	Partner Family
38	PEAKS039234_BHLHA15_pwm.binary	Mafb	MAFB.H12CORE.1.P.B	7.557501	2.042933	7.110405	0.940841		Basic leucine zipper factors (bZIP) {1.1}	Maf-related {1.1.3}
39	PEAKS039234_BHLHA15_pwm.binary	Maff	MAFF.H12CORE.0.PSM.A	7.557501	1.625193	7.090805	0.938247		Basic leucine zipper factors (bZIP) {1.1}	Maf-related {1.1.3}
40	PEAKS039234_BHLHA15_pwm.binary	Maff	MAFF.H12CORE.1.PSM.A	7.557501	1.793916	7.082266	0.937117		Basic leucine zipper factors (bZIP) {1.1}	Maf-related {1.1.3}
41	PEAKS039234_BHLHA15_pwm.binary	Mafg	MAFG.H12CORE.0.PSM.A	7.557501	1.636102	7.103862	0.939975		Basic leucine zipper factors (bZIP) {1.1}	Maf-related {1.1.3}
42	PEAKS039234_BHLHA15_pwm.binary	Mafg	MAFG.H12CORE.1.PSM.A	7.557501	1.907000	7.127630	0.943120		Basic leucine zipper factors (bZIP) {1.1}	Maf-related {1.1.3}
43	PEAKS039234_BHLHA15_pwm.binary	Mafk	MAFK.H12CORE.0.PS.A	7.557501	1.840001	7.152776	0.946447		Basic leucine zipper factors (bZIP) {1.1}	Maf-related {1.1.3}
44	PEAKS039234_BHLHA15_pwm.binary	Mafk	MAFK.H12CORE.1.P.B	7.557501	2.298209	7.121172	0.942265		Basic leucine zipper factors (bZIP) {1.1}	Maf-related {1.1.3}
45	PEAKS039234_BHLHA15_pwm.binary	Mafk	MAFK.H12CORE.2.S.B	7.557501	1.895463	7.094726	0.938766		Basic leucine zipper factors (bZIP) {1.1}	Maf-related {1.1.3}
46	PEAKS039234_BHLHA15_pwm.binary	Nrl	NRL.H12CORE.0.SM.B	7.557501	1.874073	7.135694	0.944187		Basic leucine zipper factors (bZIP) {1.1}	Maf-related {1.1.3}
47	PEAKS039234_BHLHA15_pwm.binary	Nrl	NRL.H12CORE.1.SM.B	7.557501	2.001488	7.177793	0.949758		Basic leucine zipper factors (bZIP) {1.1}	Maf-related {1.1.3}
48	PEAKS039234_BHLHA15_pwm.binary	Batf	BATF.H12CORE.0.P.B	7.557501	1.449751	7.190929	0.951496		Basic leucine zipper factors (bZIP) {1.1}	B-ATF-related {1.1.4}
49	PEAKS039234_BHLHA15_pwm.binary	Batf	BATF.H12CORE.1.P.B	7.557501	1.669492	7.166330	0.948241		Basic leucine zipper factors (bZIP) {1.1}	B-ATF-related {1.1.4}
50	PEAKS039234_BHLHA15_pwm.binary	Batf3	BATF3.H12CORE.0.P.B	7.557501	1.372441	7.203469	0.953155		Basic leucine zipper factors (bZIP) {1.1}	B-ATF-related {1.1.4}
51	PEAKS039234_BHLHA15_pwm.binary	Batf3	BATF3.H12CORE.1.P.B	7.557501	1.664884	7.197462	0.952360		Basic leucine zipper factors (bZIP) {1.1}	B-ATF-related {1.1.4}
52	PEAKS039234_BHLHA15_pwm.binary	Batf3	BATF3.H12CORE.2.SM.B	7.557501	1.123524	7.114524	0.941386		Basic leucine zipper factors (bZIP) {1.1}	B-ATF-related {1.1.4}
53	PEAKS039234_BHLHA15_pwm.binary	Xbp1	XBP1.H12CORE.0.PS.A	7.557501	1.465544	7.042607	0.931870		Basic leucine zipper factors (bZIP) {1.1}	XBP1-related {1.1.5}
54	PEAKS039234_BHLHA15_pwm.binary	Xbp1	XBP1.H12CORE.1.M.B	7.557501	1.340192	6.965910	0.921721		Basic leucine zipper factors (bZIP) {1.1}	XBP1-related {1.1.5}
55	PEAKS039234_BHLHA15_pwm.binary	Atf4	ATF4.H12CORE.0.P.B	7.557501	1.818806	7.032791	0.930571		Basic leucine zipper factors (bZIP) {1.1}	ATF4-related {1.1.6}
56	PEAKS039234_BHLHA15_pwm.binary	Atf4	ATF4.H12CORE.1.S.B	7.557501	1.695330	7.109920	0.940777		Basic leucine zipper factors (bZIP) {1.1}	ATF4-related {1.1.6}
57	PEAKS039234_BHLHA15_pwm.binary	Atf4	ATF4.H12CORE.2.SM.B	7.557501	1.246396	7.031174	0.930357		Basic leucine zipper factors (bZIP) {1.1}	ATF4-related {1.1.6}
58	PEAKS039234_BHLHA15_pwm.binary	Atf1	ATF1.H12CORE.0.P.B	7.557501	1.522764	7.102211	0.939757		Basic leucine zipper factors (bZIP) {1.1}	CREB-related {1.1.7}
59	PEAKS039234_BHLHA15_pwm.binary	Atf1	ATF1.H12CORE.1.P.B	7.557501	1.491829	7.063231	0.934599		Basic leucine zipper factors (bZIP) {1.1}	CREB-related {1.1.7}
60	PEAKS039234_BHLHA15_pwm.binary	Atf6	ATF6A.H12CORE.0.SM.B	7.557501	1.240132	7.090277	0.938177		Basic leucine zipper factors (bZIP) {1.1}	CREB-related {1.1.7}
61	PEAKS039234_BHLHA15_pwm.binary	Atf6b	ATF6B.H12CORE.0.SM.B	7.557501	1.363615	7.059825	0.934148		Basic leucine zipper factors (bZIP) {1.1}	CREB-related {1.1.7}
62	PEAKS039234_BHLHA15_pwm.binary	Creb1	CREB1.H12CORE.0.PSM.A	7.557501	1.507896	7.084670	0.937436		Basic leucine zipper factors (bZIP) {1.1}	CREB-related {1.1.7}
63	PEAKS039234_BHLHA15_pwm.binary	Creb3	CREB3.H12CORE.0.SM.B	7.557501	1.239445	6.992928	0.925296		Basic leucine zipper factors (bZIP) {1.1}	CREB-related {1.1.7}
64	PEAKS039234_BHLHA15_pwm.binary	Creb3l1	CR3L1.H12CORE.0.PSM.A	7.557501	1.820957	7.057278	0.933811		Basic leucine zipper factors (bZIP) {1.1}	CREB-related {1.1.7}
65	PEAKS039234_BHLHA15_pwm.binary	Creb3l2	CR3L2.H12CORE.0.PS.A	7.557501	1.676070	7.080352	0.936864		Basic leucine zipper factors (bZIP) {1.1}	CREB-related {1.1.7}
66	PEAKS039234_BHLHA15_pwm.binary	Creb3l4	CR3L4.H12CORE.0.M.C	7.557501	1.489482	7.030949	0.930327		Basic leucine zipper factors (bZIP) {1.1}	CREB-related {1.1.7}
67	PEAKS039234_BHLHA15_pwm.binary	Creb3l4	CR3L4.H12CORE.1.S.C	7.557501	1.479342	7.029324	0.930112		Basic leucine zipper factors (bZIP) {1.1}	CREB-related {1.1.7}
68	PEAKS039234_BHLHA15_pwm.binary	Crem	CREM.H12CORE.0.PSM.A	7.557501	1.535182	7.088621	0.937958		Basic leucine zipper factors (bZIP) {1.1}	CREB-related {1.1.7}
69	PEAKS039234_BHLHA15_pwm.binary	Crem	CREM.H12CORE.1.P.C	7.557501	1.735142	7.283987	0.963809		Basic leucine zipper factors (bZIP) {1.1}	CREB-related {1.1.7}
70	PEAKS039234_BHLHA15_pwm.binary	Cebpa	CEBPA.H12CORE.0.P.B	7.557501	1.942446	7.263968	0.961160		Basic leucine zipper factors (bZIP) {1.1}	C/EBP-related {1.1.8}
71	PEAKS039234_BHLHA15_pwm.binary	Cebpb	CEBPB.H12CORE.0.P.B	7.557501	2.009127	7.287601	0.964287		Basic leucine zipper factors (bZIP) {1.1}	C/EBP-related {1.1.8}
72	PEAKS039234_BHLHA15_pwm.binary	Cebpb	CEBPB.H12CORE.1.SM.B	7.557501	1.848640	7.196350	0.952213		Basic leucine zipper factors (bZIP) {1.1}	C/EBP-related {1.1.8}
73	PEAKS039234_BHLHA15_pwm.binary	Cebpd	CEBPD.H12CORE.0.P.B	7.557501	2.082214	7.258141	0.960389		Basic leucine zipper factors (bZIP) {1.1}	C/EBP-related {1.1.8}
74	PEAKS039234_BHLHA15_pwm.binary	Cebpd	CEBPD.H12CORE.1.SM.B	7.557501	1.828811	7.180690	0.950141		Basic leucine zipper factors (bZIP) {1.1}	C/EBP-related {1.1.8}
75	PEAKS039234_BHLHA15_pwm.binary	Cebpe	CEBPE.H12CORE.0.P.B	7.557501	2.003959	7.079912	0.936806		Basic leucine zipper factors (bZIP) {1.1}	C/EBP-related {1.1.8}
76	PEAKS039234_BHLHA15_pwm.binary	Cebpe	CEBPE.H12CORE.1.SM.B	7.557501	1.960541	7.219080	0.955221		Basic leucine zipper factors (bZIP) {1.1}	C/EBP-related {1.1.8}
77	PEAKS039234_BHLHA15_pwm.binary	Cebpg	CEBPG.H12CORE.0.P.B	7.557501	1.799059	7.237486	0.957656		Basic leucine zipper factors (bZIP) {1.1}	C/EBP-related {1.1.8}
78	PEAKS039234_BHLHA15_pwm.binary	Cebpg	CEBPG.H12CORE.1.SM.B	7.557501	1.926925	7.195820	0.952143		Basic leucine zipper factors (bZIP) {1.1}	C/EBP-related {1.1.8}
79	PEAKS039234_BHLHA15_pwm.binary	Cebpg	CEBPG.H12CORE.2.P.B	7.557501	1.885767	7.250999	0.959444		Basic leucine zipper factors (bZIP) {1.1}	C/EBP-related {1.1.8}
80	PEAKS039234_BHLHA15_pwm.binary	Dbp	DBP.H12CORE.0.SM.B	7.557501	1.177393	7.166428	0.948254		Basic leucine zipper factors (bZIP) {1.1}	C/EBP-related {1.1.8}
81	PEAKS039234_BHLHA15_pwm.binary	Ddit3	DDIT3.H12CORE.0.P.B	7.557501	1.915616	7.228226	0.956431		Basic leucine zipper factors (bZIP) {1.1}	C/EBP-related {1.1.8}
82	PEAKS039234_BHLHA15_pwm.binary	Hlf	HLF.H12CORE.0.P.B	7.557501	1.541054	7.211844	0.954263		Basic leucine zipper factors (bZIP) {1.1}	C/EBP-related {1.1.8}
83	PEAKS039234_BHLHA15_pwm.binary	Hlf	HLF.H12CORE.1.SM.B	7.557501	1.501951	7.277958	0.963011		Basic leucine zipper factors (bZIP) {1.1}	C/EBP-related {1.1.8}
84	PEAKS039234_BHLHA15_pwm.binary	Nfil3	NFIL3.H12CORE.0.P.B	7.557501	1.604958	7.192001	0.951638		Basic leucine zipper factors (bZIP) {1.1}	C/EBP-related {1.1.8}
85	PEAKS039234_BHLHA15_pwm.binary	Nfil3	NFIL3.H12CORE.1.S.B	7.557501	1.106857	7.202286	0.952998		Basic leucine zipper factors (bZIP) {1.1}	C/EBP-related {1.1.8}
86	PEAKS039234_BHLHA15_pwm.binary	Tef	TEF.H12CORE.0.SM.B	7.557501	1.482783	7.236886	0.957577		Basic leucine zipper factors (bZIP) {1.1}	C/EBP-related {1.1.8}
87	PEAKS039234_BHLHA15_pwm.binary	Tcf12	HTF4.H12CORE.0.PSM.A	7.557501	6.504768	7.576682	1.002538		Basic helix-loop-helix factors (bHLH) {1.2}	E2A {1.2.1}
88	PEAKS039234_BHLHA15_pwm.binary	Tcf3	TFE2.H12CORE.0.PS.A	7.557501	5.837960	7.385520	0.977244		Basic helix-loop-helix factors (bHLH) {1.2}	E2A {1.2.1}
89	PEAKS039234_BHLHA15_pwm.binary	Tcf4	ITF2.H12CORE.0.S.B	7.557501	5.638869	7.463948	0.987621		Basic helix-loop-helix factors (bHLH) {1.2}	E2A {1.2.1}
90	PEAKS039234_BHLHA15_pwm.binary	Tcf4	ITF2.H12CORE.1.PSM.A	7.557501	5.086985	7.205633	0.953441		Basic helix-loop-helix factors (bHLH) {1.2}	E2A {1.2.1}
91	PEAKS039234_BHLHA15_pwm.binary	Ascl1	ASCL1.H12CORE.0.PSM.A	7.557501	7.144794	7.842492	1.037710		Basic helix-loop-helix factors (bHLH) {1.2}	MyoD-ASC-related {1.2.2}
92	PEAKS039234_BHLHA15_pwm.binary	Ascl2	ASCL2.H12CORE.0.PSM.A	7.557501	6.741138	7.751836	1.025714		Basic helix-loop-helix factors (bHLH) {1.2}	MyoD-ASC-related {1.2.2}
93	PEAKS039234_BHLHA15_pwm.binary	Myf5	MYF5.H12CORE.0.P.B	7.557501	7.317353	7.720324	1.021545		Basic helix-loop-helix factors (bHLH) {1.2}	MyoD-ASC-related {1.2.2}
94	PEAKS039234_BHLHA15_pwm.binary	Myf6	MYF6.H12CORE.0.SM.B	7.557501	6.240567	7.342088	0.971497		Basic helix-loop-helix factors (bHLH) {1.2}	MyoD-ASC-related {1.2.2}
95	PEAKS039234_BHLHA15_pwm.binary	Myod1	MYOD1.H12CORE.0.P.B	7.557501	7.172237	7.560292	1.000369		Basic helix-loop-helix factors (bHLH) {1.2}	MyoD-ASC-related {1.2.2}
96	PEAKS039234_BHLHA15_pwm.binary	Myod1	MYOD1.H12CORE.1.PSM.A	7.557501	7.262125	7.768885	1.027970		Basic helix-loop-helix factors (bHLH) {1.2}	MyoD-ASC-related {1.2.2}
97	PEAKS039234_BHLHA15_pwm.binary	Myog	MYOG.H12CORE.0.PSM.A	7.557501	6.714249	7.520452	0.995098		Basic helix-loop-helix factors (bHLH) {1.2}	MyoD-ASC-related {1.2.2}
98	PEAKS039234_BHLHA15_pwm.binary	Atoh1	ATOH1.H12CORE.0.P.B	7.557501	7.922311	8.281814	1.045379		Basic helix-loop-helix factors (bHLH) {1.2}	Tal-related {1.2.3}
99	PEAKS039234_BHLHA15_pwm.binary	Atoh1	ATOH1.H12CORE.1.SM.B	7.557501	7.449128	8.947689	1.183948		Basic helix-loop-helix factors (bHLH) {1.2}	Tal-related {1.2.3}
100	PEAKS039234_BHLHA15_pwm.binary	Atoh8	ATOH8.H12CORE.0.P.C	7.557501	7.315227	7.739433	1.024073		Basic helix-loop-helix factors (bHLH) {1.2}	Tal-related {1.2.3}
101	PEAKS039234_BHLHA15_pwm.binary	Bhlha15	BHA15.H12CORE.0.P.B	7.557501	8.253447	8.741550	1.059139		Basic helix-loop-helix factors (bHLH) {1.2}	Tal-related {1.2.3}
102	PEAKS039234_BHLHA15_pwm.binary	Bhlha15	BHA15.H12CORE.1.SM.B	7.557501	5.881358	9.017130	1.193136		Basic helix-loop-helix factors (bHLH) {1.2}	Tal-related {1.2.3}
103	PEAKS039234_BHLHA15_pwm.binary	Bhlhe22	BHE22.H12CORE.0.SM.B	7.557501	3.651709	8.714731	1.153123		Basic helix-loop-helix factors (bHLH) {1.2}	Tal-related {1.2.3}
104	PEAKS039234_BHLHA15_pwm.binary	Bhlhe23	BHE23.H12CORE.0.SM.B	7.557501	3.409476	8.795656	1.163831		Basic helix-loop-helix factors (bHLH) {1.2}	Tal-related {1.2.3}
105	PEAKS039234_BHLHA15_pwm.binary	Ferd3l	FER3L.H12CORE.0.SM.B	7.557501	6.707875	7.939840	1.050591		Basic helix-loop-helix factors (bHLH) {1.2}	Tal-related {1.2.3}
106	PEAKS039234_BHLHA15_pwm.binary	Figla	FIGLA.H12CORE.0.SM.B	7.557501	5.631433	7.252355	0.959623		Basic helix-loop-helix factors (bHLH) {1.2}	Tal-related {1.2.3}
107	PEAKS039234_BHLHA15_pwm.binary	Hand1	HAND1.H12CORE.0.P.B	7.557501	1.644537	6.985422	0.924303		Basic helix-loop-helix factors (bHLH) {1.2}	Tal-related {1.2.3}
108	PEAKS039234_BHLHA15_pwm.binary	Hand1	HAND1.H12CORE.1.P.B	7.557501	1.646071	6.932260	0.917269		Basic helix-loop-helix factors (bHLH) {1.2}	Tal-related {1.2.3}
109	PEAKS039234_BHLHA15_pwm.binary	Hand2	HAND2.H12CORE.0.P.B	7.557501	1.895247	7.036459	0.931056		Basic helix-loop-helix factors (bHLH) {1.2}	Tal-related {1.2.3}
110	PEAKS039234_BHLHA15_pwm.binary	Hand2	HAND2.H12CORE.1.P.B	7.557501	1.679346	6.930727	0.917066		Basic helix-loop-helix factors (bHLH) {1.2}	Tal-related {1.2.3}
111	PEAKS039234_BHLHA15_pwm.binary	Hand2	HAND2.H12CORE.2.S.C	7.557501	2.289611	7.141845	0.945001		Basic helix-loop-helix factors (bHLH) {1.2}	Tal-related {1.2.3}
112	PEAKS039234_BHLHA15_pwm.binary	Lyl1	LYL1.H12CORE.0.P.C	7.557501	5.748018	7.415665	0.981232		Basic helix-loop-helix factors (bHLH) {1.2}	Tal-related {1.2.3}
113	PEAKS039234_BHLHA15_pwm.binary	Lyl1	LYL1.H12CORE.1.P.C	7.557501	2.539128	7.052130	0.933130		Basic helix-loop-helix factors (bHLH) {1.2}	Tal-related {1.2.3}
114	PEAKS039234_BHLHA15_pwm.binary	Mesp1	MESP1.H12CORE.0.S.C	7.557501	1.726285	7.016535	0.928420		Basic helix-loop-helix factors (bHLH) {1.2}	Tal-related {1.2.3}
115	PEAKS039234_BHLHA15_pwm.binary	Mesp2	MESP2.H12CORE.0.S.C	7.557501	3.700093	8.807949	1.165458		Basic helix-loop-helix factors (bHLH) {1.2}	Tal-related {1.2.3}
116	PEAKS039234_BHLHA15_pwm.binary	Msc	MUSC.H12CORE.0.SM.B	7.557501	7.849450	8.952115	1.140477		Basic helix-loop-helix factors (bHLH) {1.2}	Tal-related {1.2.3}
117	PEAKS039234_BHLHA15_pwm.binary	Msgn1	MSGN1.H12CORE.0.PSM.A	7.557501	3.452712	8.354207	1.105419		Basic helix-loop-helix factors (bHLH) {1.2}	Tal-related {1.2.3}
118	PEAKS039234_BHLHA15_pwm.binary	Neurod1	NDF1.H12CORE.0.P.B	7.557501	7.851753	8.379332	1.067193		Basic helix-loop-helix factors (bHLH) {1.2}	Tal-related {1.2.3}
119	PEAKS039234_BHLHA15_pwm.binary	Neurod1	NDF1.H12CORE.1.S.C	7.557501	3.870760	8.670108	1.147219		Basic helix-loop-helix factors (bHLH) {1.2}	Tal-related {1.2.3}
120	PEAKS039234_BHLHA15_pwm.binary	Neurod2	NDF2.H12CORE.0.P.B	7.557501	6.835817	8.146084	1.077881		Basic helix-loop-helix factors (bHLH) {1.2}	Tal-related {1.2.3}
121	PEAKS039234_BHLHA15_pwm.binary	Neurod2	NDF2.H12CORE.1.S.B	7.557501	3.858862	8.855089	1.171695		Basic helix-loop-helix factors (bHLH) {1.2}	Tal-related {1.2.3}
122	PEAKS039234_BHLHA15_pwm.binary	Neurog1	NGN1.H12CORE.0.SM.B	7.557501	3.523289	8.614778	1.139898		Basic helix-loop-helix factors (bHLH) {1.2}	Tal-related {1.2.3}
123	PEAKS039234_BHLHA15_pwm.binary	Neurog2	NGN2.H12CORE.0.P.B	7.557501	7.904250	8.396062	1.062221		Basic helix-loop-helix factors (bHLH) {1.2}	Tal-related {1.2.3}
124	PEAKS039234_BHLHA15_pwm.binary	Neurog2	NGN2.H12CORE.1.SM.B	7.557501	3.757615	8.652143	1.144842		Basic helix-loop-helix factors (bHLH) {1.2}	Tal-related {1.2.3}
125	PEAKS039234_BHLHA15_pwm.binary	Nhlh1	HEN1.H12CORE.0.S.B	7.557501	6.068312	7.424674	0.982424		Basic helix-loop-helix factors (bHLH) {1.2}	Tal-related {1.2.3}
126	PEAKS039234_BHLHA15_pwm.binary	Nhlh2	HEN2.H12CORE.0.SM.B	7.557501	5.729518	7.488696	0.990896		Basic helix-loop-helix factors (bHLH) {1.2}	Tal-related {1.2.3}
127	PEAKS039234_BHLHA15_pwm.binary	Olig1	OLIG1.H12CORE.0.S.B	7.557501	3.508801	8.776520	1.161299		Basic helix-loop-helix factors (bHLH) {1.2}	Tal-related {1.2.3}
128	PEAKS039234_BHLHA15_pwm.binary	Olig2	OLIG2.H12CORE.0.P.B	7.557501	7.216420	8.082877	1.069517		Basic helix-loop-helix factors (bHLH) {1.2}	Tal-related {1.2.3}
129	PEAKS039234_BHLHA15_pwm.binary	Olig2	OLIG2.H12CORE.1.P.B	7.557501	8.456920	8.715795	1.030611		Basic helix-loop-helix factors (bHLH) {1.2}	Tal-related {1.2.3}
130	PEAKS039234_BHLHA15_pwm.binary	Olig2	OLIG2.H12CORE.2.SM.B	7.557501	4.051017	8.954106	1.184797		Basic helix-loop-helix factors (bHLH) {1.2}	Tal-related {1.2.3}
131	PEAKS039234_BHLHA15_pwm.binary	Olig3	OLIG3.H12CORE.0.SM.B	7.557501	3.731285	8.864332	1.172918		Basic helix-loop-helix factors (bHLH) {1.2}	Tal-related {1.2.3}
132	PEAKS039234_BHLHA15_pwm.binary	Ptf1a	PTF1A.H12CORE.0.P.B	7.557501	6.001994	7.507587	0.993395		Basic helix-loop-helix factors (bHLH) {1.2}	Tal-related {1.2.3}
